sampleID,read,fastqName
BE581_S3,R1,BE581_S3_R1_001.fastq.gz
BE581_S3,R2,BE581_S3_R2_001.fastq.gz
BE585_S4,R1,BE585_S4_R1_001.fastq.gz
BE585_S4,R2,BE585_S4_R2_001.fastq.gz
BE616_S9,R1,BE616_S9_R1_001.fastq.gz
BE616_S9,R2,BE616_S9_R2_001.fastq.gz
BE617_S10,R1,BE617_S10_R1_001.fastq.gz
BE617_S10,R2,BE617_S10_R2_001.fastq.gz
HM144_S1,R1,HM144_S1_R1_001.fastq.gz
HM144_S1,R2,HM144_S1_R2_001.fastq.gz
HM148_S2,R1,HM148_S2_R1_001.fastq.gz
HM148_S2,R2,HM148_S2_R2_001.fastq.gz
HM198_S7,R1,HM198_S7_R1_001.fastq.gz
HM198_S7,R2,HM198_S7_R2_001.fastq.gz
HM199_S8,R1,HM199_S8_R1_001.fastq.gz
HM199_S8,R2,HM199_S8_R2_001.fastq.gz
MB842_S5,R1,MB842_S5_R1_001.fastq.gz
MB842_S5,R2,MB842_S5_R2_001.fastq.gz
MB846_S6,R1,MB846_S6_R1_001.fastq.gz
MB846_S6,R2,MB846_S6_R2_001.fastq.gz
MB857_S11,R1,MB857_S11_R1_001.fastq.gz
MB857_S11,R2,MB857_S11_R2_001.fastq.gz
MB858_S12,R1,MB858_S12_R1_001.fastq.gz
MB858_S12,R2,MB858_S12_R2_001.fastq.gz
